id,scores_available,title,question_set,date,location
29268,1,"Квиз, плиз! SPB",383,"9 июля/Пятница, 19:30",Grand Bianco
29267,0,"Квиз, плиз! SPB",383,"8 июля/Четверг, 19:30",Puberty
29266,1,"Квиз, плиз! SPB",384,"8 июля/Четверг, 19:30",Grand Bianco
29047,1,"Квиз, плиз! SPB",382,"6 июля/Вторник, 19:30",Grand Bianco
29045,1,"Квиз, плиз! SPB",382,"4 июля/Воскресенье, 18:00",Grand Bianco
29274,1,"Квиз, плиз! [стрим] SPB",150,"4 июля/Воскресенье, 18:00","Везде, где есть интернет"
29044,1,"Квиз, плиз! SPB",381,"4 июля/Воскресенье, 16:00",Puberty
29042,1,"Квиз, плиз! SPB",381,"3 июля/Суббота, 17:00",Rossi's Club
29273,1,"Квиз, плиз! [стрим] SPB",149,"2 июля/Пятница, 20:00","Везде, где есть интернет"
29041,1,"Квиз, плиз! SPB",380,"2 июля/Пятница, 19:30",Grand Bianco
29040,1,"Квиз, плиз! SPB",380,"1 июля/Четверг, 19:30",Puberty
28840,1,"Квиз, плиз! [турбо] SPB",2,"29 июня/Вторник, 19:30",Grand Bianco
28839,1,"Квиз, плиз! SPB",379,"27 июня/Воскресенье, 16:00",Puberty
29049,1,"Квиз, плиз! [стрим] SPB",148,"26 июня/Суббота, 20:00","Везде, где есть интернет"
28838,1,"Квиз, плиз! [турбо] SPB",2,"26 июня/Суббота, 16:00",Puberty
29048,1,"Квиз, плиз! [стрим] SPB",147,"25 июня/Пятница, 20:00","Везде, где есть интернет"
28837,1,"Квиз, плиз! SPB",379,"25 июня/Пятница, 19:30",Rossi's Club
28836,1,"Квиз, плиз! SPB",378,"24 июня/Четверг, 19:30",Puberty
28835,1,"Квиз, плиз! SPB",378,"22 июня/Вторник, 19:30",Grand Bianco
28844,1,"Квиз, плиз! [стрим] SPB",146,"19 июня/Суббота, 20:00","Везде, где есть интернет"
28596,1,"Квиз, плиз! SPB",377,"19 июня/Суббота, 17:00",Rossi's Club
28595,1,"Квиз, плиз! SPB",376,"19 июня/Суббота, 16:00",Puberty
28841,1,"Квиз, плиз! [стрим] SPB",145,"18 июня/Пятница, 20:00","Везде, где есть интернет"
28594,1,"Квиз, плиз! SPB",377,"18 июня/Пятница, 19:30",Rossi's Club
28593,1,"Квиз, плиз! SPB",376,"14 июня/Понедельник, 18:00",Rossi's Club
28732,1,"Квиз, плиз! [стрим] SPB",144,"13 июня/Воскресенье, 20:00","Везде, где есть интернет"
28420,1,"Квиз, плиз! SPB",375,"13 июня/Воскресенье, 16:00",Puberty
