id,scores_available,title,question_set,date,location
778,False,"Квиз, плиз! SPB",27.2,"23 ноября/Четверг, 20:00",Берёзки
779,False,"Квиз, плиз! SPB",28,"25 ноября/Суббота, 18:00",ПАБ84
826,False,,,,
827,False,"Квиз, плиз! SPB",29,"30 ноября/Четверг, 20:00",Берёзки
876,False,"Квиз, плиз! SPB",30.1,"5 декабря/Вторник, 20:00",Street Food Bar №1
877,False,"Квиз, плиз! SPB",30.2,"7 декабря/Четверг, 20:00",Берёзки
878,False,"Квиз, плиз! SPB",31,"10 декабря/Воскресенье, 18:00",MAXIMILIAN
916,False,"Квиз, плиз! SPB",32,"12 декабря/Вторник, 20:00",MAXIMILIAN
917,False,"Квиз, плиз! SPB",33,"13 декабря/Среда, 20:00",Street Food Bar №1
965,False,"Квиз, плиз! SPB",34,"20 декабря/Среда, 20:00",MAXIMILIAN
982,False,"Квиз, плиз! SPB ",35,"21 декабря/Четверг, 20:00",Street Food Bar №1
997,False,"Квиз, плиз! SPB",gameover 2017,"25 декабря/Понедельник, 20:00",MAXIMILIAN
998,False,"Квиз, плиз! SPB",gameover 2017,"26 декабря/Вторник, 19:30",Street Food Bar №1
1059,False,"Квиз, плиз! SPB",36,"10 января/Среда, 20:00",MAXIMILIAN
1060,False,"Квиз, плиз! SPB",37,"12 января/Пятница, 19:30",Street Food Bar №1
1101,False,"Квиз, плиз! SPB",38,"16 января/Вторник, 20:00",MAXIMILIAN
1102,False,"Квиз, плиз! SPB",39,"19 января/Пятница, 20:00",Grand Bianco
1153,False,"Квиз, плиз! SPB",40,"23 января/Вторник, 20:00",MAXIMILIAN
1206,False,"Квиз, плиз! SPB",41,"30 января/Вторник, 20:00",MAXIMILIAN
1207,False,"Квиз, плиз! SPB",42.1,"1 февраля/Четверг, 19:30",Street Food Bar №1
1208,False,Квиз: плиз! SPB,42.2,"3 февраля/Суббота, 18:00",Street Food Bar №1
1266,False,"Квиз, плиз! SPB",43,"7 февраля/Среда, 19:30",Street Food Bar №1
1268,False,"Квиз, плиз! SPB",44.1,"10 февраля/Суббота, 18:00",Grand Bianco
1270,False,"Квиз, плиз! SPB",44.2,"11 февраля/Воскресенье, 18:00",Grand Bianco
1334,False,"Квиз, плиз! SPB",45,"13 февраля/Вторник, 20:00",MAXIMILIAN
1335,False,"Квиз, плиз! SPB",46.1,"17 февраля/Суббота, 18:00",Grand Bianco
1336,False,"Квиз, плиз! SPB",46.2,"18 февраля/Воскресенье, 18:00",Grand Bianco
1392,False,"Квиз, плиз! SPB",47,"20 февраля/Вторник, 20:00",Контакт Бар
1393,False,"Квиз, плиз! SPB",SPECIAL EDITION,"25 февраля/Воскресенье, 18:00",Grand Bianco
1453,False,,,,
1456,False,"Квиз, плиз! SPB",48.1,"1 марта/Четверг, 19:30",Street Food Bar №1
1457,False,"Квиз, плиз! SPB ",48.2,"3 марта/Суббота, 19:30",Street Food Bar №1
1522,False,"Квиз, плиз! SPB",49,"6 марта/Вторник, 20:00",MAXIMILIAN
1523,False,"Квиз, плиз! SPB",SPECIAL Vol.1,"10 марта/Суббота, 18:00",Grand Bianco
1525,False,"Квиз, плиз! SPB",SPECIAL Vol.2,"11 марта/Воскресенье, 18:00",MAXIMILIAN
1579,False,"Квиз, плиз! SPB",50,"13 марта/Вторник, 20:00",MAXIMILIAN
1633,False,"Квиз, плиз! SPB",51.1,"20 марта/Вторник, 20:00",MAD MAX
1634,False,"Квиз, плиз! SPB",51.2,"21 марта/Среда, 20:00",MAXIMILIAN
1635,False,"Квиз, плиз! SPB",52.1,"24 марта/Суббота, 18:00",Grand Bianco
1637,False,"Квиз, плиз! SPB",52.2,"25 марта/Воскресенье, 18:00",Grand Bianco
1692,False,"Квиз, плиз! SPB",53.1,"27 марта/Вторник, 20:00",MAXIMILIAN
1693,False,"Квиз, плиз! SPB",53.2,"30 марта/Пятница, 20:00",Grand Bianco
1694,False,"Квиз, плиз! SPB",54.1,"31 марта/Суббота, 18:00",Grand Bianco
1695,False,"Квиз, плиз! SPB",54.2,"1 апреля/Воскресенье, 18:00",Grand Bianco
1792,False,"Квиз, плиз! SPB",55.1,"3 апреля/Вторник, 20:00",MAD MAX
1793,False,"Квиз, плиз! SPB",56,"4 апреля/Среда, 20:00",MAXIMILIAN
1794,False,"Квиз, плиз! SPB",55.2,"6 апреля/Пятница, 19:30",Street Food Bar №1
1873,False,"Квиз, плиз! SPB",57,"10 апреля/Вторник, 20:00",MAXIMILIAN
1877,False,"Квиз, плиз! SPB",58.1,"13 апреля/Пятница, 20:00",Metropolis Kitchen & Bar
1878,False,"Квиз, плиз! SPB",58.2,"15 апреля/Воскресенье, 18:00",MAXIMILIAN
1933,False,"Квиз, плиз! SPB",59,"17 апреля/Вторник, 20:00",MAD MAX
1934,False,"Квиз, плиз! SPB",60.1,"19 апреля/Четверг, 20:00",Берёзки
1935,False,"Квиз, плиз! SPB",60.2,"22 апреля/Воскресенье, 18:00",Grand Bianco
2026,False,"Квиз, плиз! SPB",61.1,"25 апреля/Среда, 19:30",Street Food Bar №1
2027,False,"Квиз, плиз! SPB",61.2,"27 апреля/Пятница, 19:30",Street Food Bar №1
2100,False,"Квиз, плиз! SPB",62.1,"1 мая/Вторник, 18:00",MAXIMILIAN
2101,False,"Квиз, плиз! SPB",62.2,"2 мая/Среда, 18:00",Street Food Bar №1
2102,False,"Квиз, плиз! SPB",63.1,"3 мая/Четверг, 20:00",Metropolis Kitchen & Bar
2103,False,"Квиз, плиз! SPB",63.2,"5 мая/Суббота, 18:00",Grand Bianco
2176,False,"Квиз, плиз! SPB",64.1,"8 мая/Вторник, 20:00",MAXIMILIAN
2177,False,"Квиз, плиз! SPB",64.2,"9 мая/Среда, 18:00",MAD MAX
2178,False,"Квиз, плиз! SPB",65.1,"11 мая/Пятница, 19:30",Street Food Bar №1
2179,False,"Квиз, плиз! SPB",65.2,"13 мая/Воскресенье, 18:00",Grand Bianco
2257,False,"Квиз, плиз! SPB",66.1,"15 мая/Вторник, 20:00",MAXIMILIAN
2258,False,"Квиз, плиз! SPB",66.2,"16 мая/Среда, 19:30",Street Food Bar №1
2259,False,"Квиз, плиз! SPB",67.1,"17 мая/Четверг, 20:00",Metropolis Kitchen & Bar
2260,False,"Квиз, плиз! SPB",67.2,"18 мая/Пятница, 20:00",Metropolis Kitchen & Bar
2339,False,"Квиз, плиз! SPB",68.1,"23 мая/Среда, 19:30",Street Food Bar №1
2341,False,"Квиз, плиз! SPB",68.2,"25 мая/Пятница, 20:00",Metropolis Kitchen & Bar
2404,False,,,,
2424,False,"Квиз, плиз! SPB",69.1,"1 июня/Пятница, 20:00",Metropolis Kitchen & Bar
2425,False,"Квиз, плиз! SPB",70,"2 июня/Суббота, 20:00",Grand Bianco
2426,False,"Квиз, плиз! SPB",69.2,"3 июня/Воскресенье, 18:00",Grand Bianco
2487,False,"Квиз, плиз! SPB",71.1,"5 июня/Вторник, 20:00",MAXIMILIAN
2488,False,"Квиз, плиз! SPB",71.2,"6 июня/Среда, 20:00",MAD MAX
2501,False,"Квиз, плиз! SPB",72.1,"8 июня/Пятница, 20:00",Metropolis Kitchen & Bar
2502,False,"Квиз, плиз! SPB",72.2,"10 июня/Воскресенье, 18:00",Grand Bianco
2576,False,"Квиз, плиз! SPB",73.1,"12 июня/Вторник, 20:00",MAXIMILIAN
2577,False,"Квиз, плиз! SPB",74.1,"15 июня/Пятница, 19:00",MAD MAX
2578,False,"Квиз, плиз! SPB",73.2,"16 июня/Суббота, 18:00",MAD MAX
2579,False,"Квиз, плиз! SPB",74.2,"17 июня/Воскресенье, 18:00",Grand Bianco
2650,False,"Квиз, плиз! SPB",75,"19 июня/Вторник, 19:00",MAXIMILIAN
2651,False,"Квиз, плиз! SPB",76.1,"20 июня/Среда, 20:00",Metropolis Kitchen & Bar
2653,False,"Квиз, плиз! SPB",76.2,"23 июня/Суббота, 18:00",MAD MAX
2749,False,"Квиз, плиз! SPB",77.1,"29 июня/Пятница, 20:00",Metropolis Kitchen & Bar
2750,False,"Квиз, плиз!  SPB",77.2,"30 июня/Суббота, 18:00",Grand Bianco
2824,False,"Квиз, плиз! SPB",78.1,"3 июля/Вторник, 19:00",MAXIMILIAN
2825,False,"Квиз, плиз! SPB",79.1,"6 июля/Пятница, 20:00",Grand Bianco
2827,False,"Квиз, плиз! SPB",79.2,"8 июля/Воскресенье, 18:00",Grand Bianco
2920,False,"Квиз, плиз! SPB",80,"10 июля/Вторник, 19:00",MAXIMILIAN
2921,False,"Квиз, плиз! SPB",81.1,"12 июля/Четверг, 20:00",Metropolis Kitchen & Bar
2923,False,"Квиз, плиз! SPB",81.2,"14 июля/Суббота, 20:00",Grand Bianco
2991,False,"Квиз, плиз! SPB",82.1,"17 июля/Вторник, 20:00",MAXIMILIAN
2992,False,"Квиз, плиз! SPB",83.1,"18 июля/Среда, 19:30",Street Food Bar №1
2993,False,"Квиз, плиз! SPB",82.2,"21 июля/Суббота, 18:00",Metropolis Kitchen & Bar
2994,False,"Квиз, плиз! SPB",83.2,"22 июля/Воскресенье, 18:00",Grand Bianco
3066,False,"Квиз, плиз! SPB",84.1,"25 июля/Среда, 19:30",Street Food Bar №1
3068,False,"Квиз, плиз! SPB",84.2,"28 июля/Суббота, 18:00",Grand Bianco
3156,False,"Квиз, плиз! SPB",85.1,"31 июля/Вторник, 20:00",MAXIMILIAN
3157,False,"Квиз, плиз! SPB",86.1,"3 августа/Пятница, 20:00",Grand Bianco
3158,False,"Квиз, плиз! SPB",85.2,"4 августа/Суббота, 18:00",Grand Bianco
3159,False,"Квиз, плиз! SPB",86.2,"5 августа/Воскресенье, 18:00",Grand Bianco
3219,False,"Квиз, плиз! SPB",87.1,"7 августа/Вторник, 20:00",MAXIMILIAN
3220,False,"Квиз, плиз! SPB",88.1,"8 августа/Среда, 19:30",Street Food Bar №1
3221,False,"Квиз, плиз! SPB",87.2,"9 августа/Четверг, 20:00",Metropolis Kitchen & Bar
3222,False,"Квиз, плиз! SPB",88.2,"10 августа/Пятница, 20:00",Grand Bianco
3307,False,"Квиз, плиз! SPB",89.1,"14 августа/Вторник, 20:00",MAXIMILIAN
3309,False,"Квиз, плиз! SPB",90,"15 августа/Среда, 20:00",ALPENHAUS
3311,False,"Квиз, плиз! SPB",89.2,"16 августа/Четверг, 19:30",Street Food Bar №1
